PCD;NominalSize1;Table1;NominalSize2;Table2;NominalSize3;Table3;NominalSize4;Table4;NominalSize5;Table5;NominalSize6;Table6;NominalSize7;Table7;NominalSize8;Table8;NominalSize9;Table9;NominalSize10;Table10
149.8;150;80;6/3;80;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
149.9;150;80;6/3;80;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150;150;80;6/3;80;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150.1;150;80;6/3;80;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150.2;150;80;6/3;80;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
152.2;152.4;80;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
152.3;152.4;80;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
152.4;152.4;80;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
152.5;152.4;80;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
152.6;152.4;80;ASA150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
159.8;160;80;10/3;80;16/3;80;25/3;80;40/3;80;1000/3;80;1600/3;80;2500/3;80;4000/3;-;-;-;-
159.9;160;80;10/3;80;16/3;80;25/3;80;40/3;80;1000/3;80;1600/3;80;2500/3;80;4000/3;-;-;-;-
160;160;80;10/3;80;16/3;80;25/3;80;40/3;80;1000/3;80;1600/3;80;2500/3;80;4000/3;-;-;-;-
160.1;160;80;10/3;80;16/3;80;25/3;80;40/3;80;1000/3;80;1600/3;80;2500/3;80;4000/3;-;-;-;-
160.2;160;80;10/3;80;16/3;80;25/3;80;40/3;80;1000/3;80;1600/3;80;2500/3;80;4000/3;-;-;-;-
164.9;165.1;80;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
165;165.1;80;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
165.1;165.1;80;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
165.2;165.1;80;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
165.3;165.1;80;F/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
169.8;170;100;6/3;100;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
169.9;170;100;6/3;100;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170;170;100;6/3;100;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170.1;170;100;6/3;100;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170.2;170;100;6/3;100;600/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
177.6;177.8;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
177.7;177.8;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
177.8;177.8;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
177.9;177.8;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
178;177.8;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
99.8;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
99.9;100;D/3;100;E/3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
